h3_cell,time_bin,crash_count,center_lat,center_lon,gi_star,gi_p_value,hotspot_type
892a1001263ffff,Week_2_06-27,1,40.86872172367685,-73.89598809489,-0.5491900194846029,0.05,Normal
892a1001267ffff,Week_2_06-27,1,40.866132917598485,-73.89374618161872,-0.5491900194846029,0.05,Normal
892a100126bffff,Week_2_06-27,2,40.868609410107574,-73.90027476621022,0.5649713418835856,0.05,Normal
892a100126fffff,Week_2_06-27,2,40.86602068630921,-73.89803261406391,0.5649713418835856,0.05,Normal
892a1001277ffff,Week_2_06-27,1,40.868833878325745,-73.89170141773735,-0.5491900194846029,0.05,Normal
892a100127bffff,Week_2_06-27,1,40.87131057430888,-73.89823025965265,-0.5491900194846029,0.05,Normal
892a1001283ffff,Week_2_06-27,1,40.87974991164192,-73.87923237854702,-0.5491900194846029,0.05,Normal
892a100128bffff,Week_2_06-27,1,40.87963822275732,-73.88352004039501,-0.5491900194846029,0.05,Normal
892a100129bffff,Week_2_06-27,1,40.88233943413754,-73.88147411543355,-0.5491900194846029,0.05,Normal
892a10012a3ffff,Week_2_06-27,2,40.87187016953823,-73.87679562169612,0.5649713418835856,0.05,Normal
892a10012abffff,Week_2_06-27,1,40.87175856837776,-73.88108256071584,-0.5491900194846029,0.05,Normal
892a10012afffff,Week_2_06-27,3,40.869169388741014,-73.87884135176475,1.679132703251774,0.05,Hot Spot
892a10012bbffff,Week_2_06-27,1,40.87445947600916,-73.87903684308922,-0.5491900194846029,0.05,Normal
892a10012c3ffff,Week_2_06-27,1,40.88211573281905,-73.89004991160257,-0.5491900194846029,0.05,Normal
892a10012cfffff,Week_2_06-27,2,40.87941436797908,-73.89209534695675,0.5649713418835856,0.05,Normal
892a10012d3ffff,Week_2_06-27,2,40.88481714776453,-73.88800424396345,0.5649713418835856,0.05,Normal
892a10012d7ffff,Week_2_06-27,1,40.88222766298975,-73.88576201637865,-0.5491900194846029,0.05,Normal
892a10012dbffff,Week_2_06-27,2,40.88470513529088,-73.89229237827223,0.5649713418835856,0.05,Normal
892a1001307ffff,Week_2_06-27,1,40.85352406404825,-73.86968463769823,-0.5491900194846029,0.05,Normal
892a100130bffff,Week_2_06-27,1,40.856001467542434,-73.876210071515,-0.5491900194846029,0.05,Normal
892a1001343ffff,Week_2_06-27,1,40.85847859263733,-73.8827362287681,-0.5491900194846029,0.05,Normal
892a1001347ffff,Week_2_06-27,2,40.85588988281769,-73.88049555995465,0.5649713418835856,0.05,Normal
892a100134bffff,Week_2_06-27,1,40.85836676690933,-73.88702195039866,-0.5491900194846029,0.05,Normal
892a100134fffff,Week_2_06-27,3,40.85577813926956,-73.88478104273848,1.679132703251774,0.05,Hot Spot
892a100136bffff,Week_2_06-27,1,40.85048927997718,-73.88458498080375,-0.5491900194846029,0.05,Normal
892a100136fffff,Week_2_06-27,1,40.847900868540464,-73.88234458819936,-0.5491900194846029,0.05,Normal
892a1001387ffff,Week_2_06-27,3,40.85903533861518,-73.86130753635129,1.679132703251774,0.05,Hot Spot
892a100138fffff,Week_2_06-27,2,40.85892430711086,-73.86559328591002,0.5649713418835856,0.05,Normal
892a1001397ffff,Week_2_06-27,1,40.861735458543805,-73.85926126779911,-0.5491900194846029,0.05,Normal
892a100139bffff,Week_2_06-27,2,40.86421371373534,-73.86578723858062,0.5649713418835856,0.05,Normal
892a10013abffff,Week_2_06-27,3,40.85363524902259,-73.86539937700107,1.679132703251774,0.05,Hot Spot
892a10013afffff,Week_2_06-27,3,40.85104638229542,-73.86315992736677,1.679132703251774,0.05,Hot Spot
892a10013b3ffff,Week_2_06-27,1,40.85644621818992,-73.85906806215698,-0.5491900194846029,0.05,Normal
892a10013d3ffff,Week_2_06-27,2,40.86669169051464,-73.87231393325219,0.5649713418835856,0.05,Normal
892a100140fffff,Week_2_06-27,1,40.891219699799514,-73.84531434423765,-0.5491900194846029,0.05,Normal
892a1001413ffff,Week_2_06-27,2,40.89662149603555,-73.84121697597615,0.5649713418835856,0.05,Normal
892a100141bffff,Week_2_06-27,1,40.89651122279069,-73.84550613906181,-0.5491900194846029,0.05,Normal
892a1001423ffff,Week_2_06-27,1,40.88603878797192,-73.84083439783454,-0.5491900194846029,0.05,Normal
892a1001427ffff,Week_2_06-27,2,40.8834483991593,-73.83859480188171,0.5649713418835856,0.05,Normal
892a1001433ffff,Week_2_06-27,2,40.88873940751867,-73.83878580576538,0.5649713418835856,0.05,Normal
892a1001447ffff,Week_2_06-27,1,40.89369971343033,-73.85184360782759,-0.5491900194846029,0.05,Normal
892a100144bffff,Week_2_06-27,2,40.896179448270196,-73.85837359648643,0.5649713418835856,0.05,Normal
892a100144fffff,Week_2_06-27,1,40.89358904498073,-73.85613251555252,-0.5491900194846029,0.05,Normal
892a100145bffff,Week_2_06-27,1,40.89888072901584,-73.85632554254538,-0.5491900194846029,0.05,Normal
892a1001463ffff,Week_2_06-27,1,40.88840837232645,-73.85165110851239,-0.5491900194846029,0.05,Normal
892a100146bffff,Week_2_06-27,1,40.888297709121055,-73.85593953214469,-0.5491900194846029,0.05,Normal
892a100146fffff,Week_2_06-27,1,40.8857075219476,-73.85369896663738,-0.5491900194846029,0.05,Normal
892a100147bffff,Week_2_06-27,1,40.89099868632535,-73.85389168623966,-0.5491900194846029,0.05,Normal
892a1001503ffff,Week_2_06-27,1,40.875787277150664,-73.82759027998175,-0.5491900194846029,0.05,Normal
892a100150bffff,Week_2_06-27,1,40.87567750139488,-73.83187752259195,-0.5491900194846029,0.05,Normal
892a100153bffff,Week_2_06-27,1,40.87049712700358,-73.82740059318441,-0.5491900194846029,0.05,Normal
892a1001553ffff,Week_2_06-27,1,40.88085805511066,-73.83635545738069,-0.5491900194846029,0.05,Normal
892a1001557ffff,Week_2_06-27,1,40.878267755848405,-73.83411636429591,-0.5491900194846029,0.05,Normal
892a100155bffff,Week_2_06-27,1,40.88074795630773,-73.84064317354232,-0.5491900194846029,0.05,Normal
892a10015c3ffff,Week_2_06-27,1,40.88366828380076,-73.83001887531921,-0.5491900194846029,0.05,Normal
892a10015c7ffff,Week_2_06-27,1,40.88107777567705,-73.82778000960349,-0.5491900194846029,0.05,Normal
892a10015cfffff,Week_2_06-27,1,40.880967994900736,-73.8320677360517,-0.5491900194846029,0.05,Normal
892a100161bffff,Week_2_06-27,2,40.895734854441116,-73.87553013031639,0.5649713418835856,0.05,Normal
892a1001643ffff,Week_2_06-27,1,40.89551160277022,-73.88410836376504,-0.5491900194846029,0.05,Normal
892a1001647ffff,Week_2_06-27,1,40.892921693017236,-73.88186584699238,-0.5491900194846029,0.05,Normal
892a1001657ffff,Week_2_06-27,2,40.89562330816796,-73.87981924986963,0.5649713418835856,0.05,Normal
892a1001687ffff,Week_2_06-27,1,40.896068538504224,-73.86266273819037,-0.5491900194846029,0.05,Normal
892a100168fffff,Week_2_06-27,1,40.895957469610146,-73.86695187442871,-0.5491900194846029,0.05,Normal
892a10016a3ffff,Week_2_06-27,2,40.89077703649229,-73.86246900677735,0.5649713418835856,0.05,Normal
892a10016b3ffff,Week_2_06-27,3,40.89347821742178,-73.86042141788565,1.679132703251774,0.05,Hot Spot
892a1001807ffff,Week_2_06-27,1,40.817285161270156,-73.83835184482852,-0.5491900194846029,0.05,Normal
892a100180fffff,Week_2_06-27,1,40.81717496506646,-73.84263375702865,-0.5491900194846029,0.05,Normal
892a1001857ffff,Week_2_06-27,1,40.82235124817548,-73.84710733652273,-0.5491900194846029,0.05,Normal
892a1001873ffff,Week_2_06-27,1,40.81706461033224,-73.84691566400537,-0.5491900194846029,0.05,Normal
892a1001883ffff,Week_2_06-27,2,40.82538027281615,-73.83221395786708,0.5649713418835856,0.05,Normal
892a100188bffff,Week_2_06-27,1,40.82527030680789,-73.83649660180625,-0.5491900194846029,0.05,Normal
892a10018c3ffff,Week_2_06-27,3,40.82774860002102,-73.84301617992412,1.679132703251774,0.05,Hot Spot
892a10018c7ffff,Week_2_06-27,1,40.825160182207796,-73.8407792405888,-0.5491900194846029,0.05,Normal
892a10018cbffff,Week_2_06-27,1,40.8276382349502,-73.84729905226342,-0.5491900194846029,0.05,Normal
892a10018d7ffff,Week_2_06-27,2,40.82785880648128,-73.83873330235477,0.5649713418835856,0.05,Normal
892a1001927ffff,Week_2_06-27,1,40.791296255541305,-73.8202808992797,-0.5491900194846029,0.05,Normal
892a1001a07ffff,Week_2_06-27,1,40.816510458733184,-73.86832511886382,-0.5491900194846029,0.05,Normal
892a1001a43ffff,Week_2_06-27,1,40.82146266052413,-73.88136625944885,-0.5491900194846029,0.05,Normal
892a1001a4bffff,Week_2_06-27,1,40.82135087352638,-73.88564859985922,-0.5491900194846029,0.05,Normal
892a1001a4fffff,Week_2_06-27,2,40.81876344707568,-73.8834095374916,0.5649713418835856,0.05,Normal
892a1001a6bffff,Week_2_06-27,1,40.81347702925449,-73.88321378484946,-0.5491900194846029,0.05,Normal
892a1001a7bffff,Week_2_06-27,1,40.81617606546273,-73.8811707260373,-0.5491900194846029,0.05,Normal
892a1001a8bffff,Week_2_06-27,2,40.824496104226874,-73.86647496231542,0.5649713418835856,0.05,Normal
