h3_cell,center_lat,center_lon,trend_slope,trend_p_value,trend_significance,trend_direction,total_crashes
892a1000627ffff,40.86607973077515,-73.7929205689231,0.029814687790289007,0.2962698714842864,Not Significant,Increasing,3
892a1000bcfffff,40.789578578670884,-73.78381255730925,0.009370366896556903,1.0,Not Significant,Increasing,3
892a100100bffff,40.87490461989031,-73.8618880749277,0.009370366896556903,1.0,Not Significant,Increasing,4
892a1001043ffff,40.877383170059645,-73.86841603086661,0.015083440543676718,1.0,Not Significant,Increasing,7
892a100104bffff,40.8772718813882,-73.87270346482643,0.024484041807042056,0.80649594050734,Not Significant,Increasing,7
892a100105bffff,40.879972812397604,-73.87065703795672,0.024484041807042056,0.80649594050734,Not Significant,Increasing,7
892a100106fffff,40.86680296838552,-73.86802746668656,0.029814687790289007,1.0,Not Significant,Increasing,4
892a1001087ffff,40.877937228603706,-73.84697877914236,0.10759478907525524,0.2962698714842864,Not Significant,Increasing,3
892a10010cfffff,40.880195077129294,-73.86208167516082,0.009370366896556903,1.0,Not Significant,Increasing,3
892a100114fffff,40.856557008784506,-73.85478254615731,0.009370366896556903,1.0,Not Significant,Increasing,4
892a1001183ffff,40.86239785072475,-73.83354519157832,0.08715046818152314,0.2962698714842864,Not Significant,Increasing,3
892a10011a7ffff,40.85192948904387,-73.82887956040521,0.009370366896556903,1.0,Not Significant,Increasing,3
892a1001203ffff,40.87423595028035,-73.8876111934982,0.01494614397919237,0.7340951823194757,Not Significant,Increasing,5
892a1001207ffff,40.871646808273695,-73.88536949406934,0.01494614397919237,0.7340951823194757,Not Significant,Increasing,5
892a100120fffff,40.87153488922693,-73.88965642170862,0.10759478907525524,0.2962698714842864,Not Significant,Increasing,3
892a1001217ffff,40.874347792626345,-73.8833240211397,0.029814687790289007,0.2962698714842864,Not Significant,Increasing,3
892a100123bffff,40.86894587405334,-73.88741473480027,0.009370366896556903,1.0,Not Significant,Increasing,3
892a100124bffff,40.876488409144244,-73.90271534379387,0.08430013570792701,0.80649594050734,Not Significant,Increasing,13
892a1001263ffff,40.86872172367685,-73.89598809489,-0.1830396808197342,0.7340951823194757,Not Significant,Decreasing,5
892a1001267ffff,40.866132917598485,-73.89374618161872,0.21798046826756642,0.3081795474670539,Not Significant,Increasing,5
892a100126bffff,40.868609410107574,-73.90027476621022,0.592608442121503,0.2962698714842864,Not Significant,Increasing,5
892a100126fffff,40.86602068630921,-73.89803261406391,0.015083440543676718,1.0,Not Significant,Increasing,5
892a100127bffff,40.87131057430888,-73.89823025965265,-0.5376324264313461,0.2962698714842864,Not Significant,Decreasing,4
892a100128bffff,40.87963822275732,-73.88352004039501,-1.081952224255427,1.0,Not Significant,Decreasing,7
892a10012abffff,40.87175856837776,-73.88108256071584,0.010015829431525403,1.0,Not Significant,Increasing,3
892a10012c3ffff,40.88211573281905,-73.89004991160257,0.01494614397919237,0.3081795474670539,Not Significant,Increasing,4
892a10012d3ffff,40.88481714776453,-73.88800424396345,0.029814687790289007,1.0,Not Significant,Increasing,4
892a1001307ffff,40.85352406404825,-73.86968463769823,0.010015829431525403,1.0,Not Significant,Increasing,3
892a1001347ffff,40.85588988281769,-73.88049555995465,-0.006594228981209113,1.0,Not Significant,Decreasing,7
892a100134bffff,40.85836676690933,-73.88702195039866,0.03038255015716177,0.3081795474670539,Not Significant,Increasing,5
892a100134fffff,40.85577813926956,-73.88478104273848,-0.44142740257320057,0.7340951823194757,Not Significant,Decreasing,7
892a100136fffff,40.847900868540464,-73.88234458819936,0.08715046818152314,1.0,Not Significant,Increasing,3
892a100138fffff,40.85892430711086,-73.86559328591002,0.029814687790289007,1.0,Not Significant,Increasing,4
892a100139bffff,40.86421371373534,-73.86578723858062,0.010015829431525403,1.0,Not Significant,Increasing,4
892a10013abffff,40.85363524902259,-73.86539937700107,0.010015829431525403,1.0,Not Significant,Increasing,5
892a10013d3ffff,40.86669169051464,-73.87231393325219,0.010015829431525403,1.0,Not Significant,Increasing,4
892a100145bffff,40.89888072901584,-73.85632554254538,0.5721641212277709,1.0,Not Significant,Increasing,4
892a100146bffff,40.888297709121055,-73.85593953214469,0.029814687790289007,0.2962698714842864,Not Significant,Increasing,3
892a1001553ffff,40.88085805511066,-73.83635545738069,0.07944016378251331,0.3081795474670539,Not Significant,Increasing,5
892a1001557ffff,40.878267755848405,-73.83411636429591,0.010015829431525403,1.0,Not Significant,Increasing,3
892a1001687ffff,40.896068538504224,-73.86266273819037,-0.5376324264313461,0.2962698714842864,Not Significant,Decreasing,4
892a10016b3ffff,40.89347821742178,-73.86042141788565,0.592608442121503,1.0,Not Significant,Increasing,6
892a1001857ffff,40.82235124817548,-73.84710733652273,0.029814687790289007,0.2962698714842864,Not Significant,Increasing,3
892a100188bffff,40.82527030680789,-73.83649660180625,0.08715046818152314,0.2962698714842864,Not Significant,Increasing,3
892a10018c3ffff,40.82774860002102,-73.84301617992412,-1.1047909944716316,0.2962698714842864,Not Significant,Decreasing,6
892a10018cbffff,40.8276382349502,-73.84729905226342,-0.44005346678761637,1.0,Not Significant,Decreasing,4
892a10018d7ffff,40.82785880648128,-73.83873330235477,0.10759478907525524,1.0,Not Significant,Increasing,4
892a1001a4bffff,40.82135087352638,-73.88564859985922,0.21798046826756642,0.3081795474670539,Not Significant,Increasing,5
892a1001a4fffff,40.81876344707568,-73.8834095374916,0.6740726629216844,0.3081795474670539,Not Significant,Increasing,7
892a1001a7bffff,40.81617606546273,-73.8811707260373,0.01494614397919237,0.3081795474670539,Not Significant,Increasing,4
892a1001a8bffff,40.824496104226874,-73.86647496231542,0.01494614397919237,0.7340951823194757,Not Significant,Increasing,5
892a1001a93ffff,40.827306188082964,-73.86014763742241,0.0035027699976859124,1.0,Not Significant,Increasing,10
892a1001a97ffff,40.824718097906285,-73.8579097431957,0.010015829431525403,1.0,Not Significant,Increasing,4
892a1001ac3ffff,40.82697271375174,-73.8729961737882,0.01494614397919237,0.7340951823194757,Not Significant,Increasing,7
892a1001ac7ffff,40.82438486950803,-73.87075756366187,0.592608442121503,0.2962698714842864,Not Significant,Increasing,4
892a1001acfffff,40.82427347620428,-73.87504015946894,0.6432662709811594,0.3081795474670539,Not Significant,Increasing,7
892a1001bd7ffff,40.80896949032792,-73.85305000121201,0.009370366896556903,1.0,Not Significant,Increasing,4
892a1001c2fffff,40.82818847419034,-73.8258846387449,0.5721641212277709,0.2962698714842864,Not Significant,Increasing,5
892a1001c6fffff,40.830557480876216,-73.83668713218283,-0.5376324264313461,0.2962698714842864,Not Significant,Decreasing,4
892a1001c77ffff,40.83336609965763,-73.8303573592985,-0.5376324264313461,1.0,Not Significant,Decreasing,5
892a1001cd7ffff,40.846750578584526,-73.82440523853761,0.029814687790289007,0.2962698714842864,Not Significant,Increasing,3
892a1001e07ffff,40.83540351249193,-73.85401209199972,-0.5178335680725825,1.0,Not Significant,Decreasing,4
892a1001e33ffff,40.8328150417101,-73.85177416114446,0.21798046826756642,0.3081795474670539,Not Significant,Increasing,5
892a1001e37ffff,40.830226615855416,-73.84953648124417,0.30954642772710145,0.22067136191984682,Not Significant,Increasing,8
892a1001e3bffff,40.832704354170595,-73.85605750571779,0.01494614397919237,0.3081795474670539,Not Significant,Increasing,4
892a1001e43ffff,40.840358563083285,-73.86705682314845,-0.5477103137875373,0.2962698714842864,Not Significant,Decreasing,5
892a1001e47ffff,40.8377701665335,-73.864817912696,0.010015829431525403,1.0,Not Significant,Increasing,3
892a1001e77ffff,40.832593507983056,-73.86034084491413,-0.08013662098194935,1.0,Not Significant,Decreasing,12
892a1001e7bffff,40.835070727992495,-73.86686282579292,0.04087284440751445,0.7340951823194757,Not Significant,Increasing,5
892a1001e83ffff,40.84350128830653,-73.84787445897156,0.04496018625863146,1.0,Not Significant,Increasing,5
892a100464bffff,40.75192615499208,-73.70332916323186,0.010015829431525403,1.0,Not Significant,Increasing,3
892a100501bffff,40.750759923148046,-73.75036258512245,0.056309250585483854,0.08942935902899363,Not Significant,Increasing,4
892a1005047ffff,40.747958443983634,-73.75668558790582,-1.435337213590404,0.08641073297370006,Not Significant,Decreasing,20
892a10050a7ffff,40.74321040344774,-73.73512927288266,-0.5477103137875373,0.2962698714842864,Not Significant,Decreasing,5
